dis_1 dis_2 ang_1 delta_int
0.93411 0.92915 111.93351 -0.0115943858
0.98421 0.98306 102.4067 -0.0030139356
0.95401 0.95479 106.629 -0.0005829320
1.00527 1.01707 121.54809 0.0401016534
0.99271 0.9371 107.20449 0.0014948063
0.87152 0.85399 94.29562 0.0631747385
0.90838 0.99409 95.30349 0.0044296265
1.12018 0.93042 98.36553 -0.0213360668
0.95654 0.94394 104.94166 -0.0002976635
0.96634 0.96665 104.26647 -0.0000424981
0.96662 0.94354 106.13941 -0.0002746718
0.92883 0.93164 107.44712 -0.0054048864
1.1842 0.97613 90.18337 -0.1066801462
1.01203 0.99823 122.38924 0.0375306900
1.2501 1.01282 99.20792 -0.0537065677
1.06352 1.09306 83.57028 -0.1665047281
1.02484 1.02157 124.07003 0.0545090692
0.96269 0.92302 109.69801 -0.0045001783
1.20449 1.10307 85.90499 -0.2246693219
0.97089 0.92609 107.87897 -0.0016845157
1.07387 1.08868 92.31311 -0.0917506820
1.16862 0.89255 97.40857 -0.0241516684
0.95945 0.97609 104.72692 0.0002108111
0.95935 0.95966 106.05835 0.0000655963
1.063 0.8503 116.88048 0.0099026873
1.0235 1.02552 102.76196 -0.0080040395
1.00624 1.16338 96.35459 -0.0606306114
0.9707 0.98413 105.82415 0.0013751750
0.95307 0.84148 111.67895 -0.0249234599
1.09519 0.97817 93.07115 -0.0545744277
0.84154 0.85014 113.17962 -0.0654673789
0.99713 0.9105 103.5005 0.0011917610
0.93987 0.93258 106.23011 -0.0026396597
0.95957 0.93718 107.16368 -0.0015972334
0.9797 0.99527 108.2781 0.0055547392
0.96054 0.98873 103.29738 -0.0009484890
0.97893 0.98441 103.91234 -0.0007969412
1.13318 1.00839 87.35442 -0.1232916542
0.93972 0.98638 114.31006 0.0026959661
